year,gdp_capita,life_expectancy,years_school,inflation,unemployment,electricity_access
1985,1287.612405,64.198,,225.9896652,4.01,
1986,1545.928425,64.64,,147.1428262,3.2,
1987,1667.18757,65.08,,228.3361626,4.5,
1988,1781.817876,65.454,,629.1145091,5,
1989,2344.730687,65.868,,1430.723725,4.4,
1990,2592.627166,65.985,12.10387,2947.732772,4.9,87.475116
1991,2234.362688,66.31,12.32611417,432.7866619,6.31400013,90.60654449
1992,2105.107748,66.708,12.54835833,951.9620531,6.420000076,88.803833
1993,2324.499775,67.109,12.7706025,1927.38079,6.03000021,89.999927
1994,3263.562622,67.568,12.99284667,2075.888398,6.169000149,91.88372803
1995,4704.961546,67.919,13.21509083,66.00703355,6.420000076,91.728598
1996,5121.905407,68.409,13.437335,15.7576656,7.25,92.867095
1997,5240.128796,68.813,13.65957917,6.926712516,8.159999847,93.354139
1998,5049.766119,69.189,13.88182333,3.195076293,9.420000076,94.193812
1999,3456.423595,69.524,14.1040675,4.858447499,10.21000004,94.76296
2000,3726.81142,69.737,14.32631167,7.044141059,9.56099987,94.391716
2001,3142.277935,70.195,14.54855583,6.840359025,9.609999657,96.01652527
2002,2824.679625,70.41,14.77079964,8.450164377,9.369999886,96.65299225
2003,3056.624967,70.72,14.01426983,14.71491972,9.989999771,96.98009491
2004,3623.247996,71.131,13.85000992,6.5971851,9.109999657,96.7651062
2005,4773.248944,71.753,13.77737045,6.869537209,9.569999695,97.09351349
2006,5866.096224,72.037,13.54003525,4.183568129,8.640000343,97.59431458
2007,7323.033629,72.365,13.30270004,3.641272991,8.329999924,98.12538147
2008,8801.599484,72.715,13.80420971,5.678593903,7.340000153,98.52662659
2009,8570.022562,72.948,13.78225994,4.888034799,8.520000458,98.85694122
2010,11249.46454,73.182,13.85643482,5.038726901,7.274000168,98.59999847
2011,13200.78508,73.343,13.9306097,6.636449622,6.920000076,99.32868958
2012,12327.31744,73.552,13.93663025,5.40349914,7.190000057,99.5194931
2013,12258.50317,73.918,15.29059029,6.204310666,6.980000019,99.57514954
2014,12071.15821,74.306,15.41777039,6.329040155,6.659999847,99.65024567
2015,8783.225984,74.332,15.36513042,9.029901024,8.430000305,99.71089935
2016,8680.768792,74.442,15.45316982,8.739143523,11.60000038,99.69999695
2017,9896.684783,74.827,15.48515987,3.44637335,12.81999969,99.80000305
2018,9121.083403,75.109,15.70306015,3.664850284,12.32999992,99.69999695
2019,8845.259118,75.338,15.59906006,3.732976212,11.93000031,99.80000305
2020,6794.489159,74.009,15.59906006,3.211768038,13.68999958,100
